"","LSB_I_corrStay_B1","LSB_I_corrStay_B2","LSB_I_corrStay_B3","LSB_I_corrStay_B4","LSB_I_corrShift_B1","LSB_I_corrShift_B2","LSB_I_corrShift_B3","LSB_I_corrShift_B4","LSB_I_incorrStay_B1","LSB_I_incorrStay_B2","LSB_I_incorrStay_B3","LSB_I_incorrStay_B4","LSB_I_incorrShift_B1","LSB_I_incorrShift_B2","LSB_I_incorrShift_B3","LSB_I_incorrShift_B4"
"s001",0.4375,0.302083333333333,0.322916666666667,0.46875,0.1875,0.208333333333333,0.260416666666667,0.09375,0.302083333333333,0.28125,0.260416666666667,0.40625,0.0729166666666667,0.208333333333333,0.15625,0.03125
"s002",0.40625,0.416666666666667,0.375,0.427083333333333,0.177083333333333,0.125,0.197916666666667,0.166666666666667,0.333333333333333,0.375,0.322916666666667,0.322916666666667,0.0833333333333333,0.0833333333333333,0.104166666666667,0.0833333333333333
"s003",0.28125,0.333333333333333,0.40625,0.3125,0.208333333333333,0.1875,0.197916666666667,0.208333333333333,0.28125,0.3125,0.291666666666667,0.28125,0.229166666666667,0.15625,0.104166666666667,0.197916666666667
"s004",0.34375,0.385416666666667,0.28125,0.322916666666667,0.25,0.260416666666667,0.239583333333333,0.25,0.239583333333333,0.239583333333333,0.25,0.239583333333333,0.145833333333333,0.0833333333333333,0.229166666666667,0.166666666666667
"s005",0.427083333333333,0.364583333333333,0.333333333333333,0.375,0.15625,0.135416666666667,0.09375,0.166666666666667,0.34375,0.364583333333333,0.416666666666667,0.322916666666667,0.0729166666666667,0.135416666666667,0.15625,0.135416666666667
"s006",0.322916666666667,0.375,0.28125,0.354166666666667,0.25,0.229166666666667,0.25,0.166666666666667,0.25,0.260416666666667,0.25,0.3125,0.177083333333333,0.135416666666667,0.21875,0.15625
"s007",0.375,0.447916666666667,0.375,0.302083333333333,0.166666666666667,0.1875,0.177083333333333,0.145833333333333,0.34375,0.322916666666667,0.3125,0.364583333333333,0.114583333333333,0.0416666666666667,0.135416666666667,0.177083333333333
"s009",0.40625,0.333333333333333,0.354166666666667,0.40625,0.229166666666667,0.25,0.145833333333333,0.114583333333333,0.270833333333333,0.260416666666667,0.333333333333333,0.375,0.0833333333333333,0.145833333333333,0.15625,0.104166666666667
"s010",0.395833333333333,0.416666666666667,0.34375,0.385416666666667,0.15625,0.177083333333333,0.177083333333333,0.135416666666667,0.333333333333333,0.3125,0.3125,0.354166666666667,0.114583333333333,0.0729166666666667,0.15625,0.114583333333333
"s011",0.291666666666667,0.302083333333333,0.34375,0.385416666666667,0.1875,0.1875,0.166666666666667,0.25,0.322916666666667,0.322916666666667,0.354166666666667,0.239583333333333,0.197916666666667,0.1875,0.135416666666667,0.125
